geoid,name,year,total_est,total_se
04000US01,Alabama,2009,6.3250961,.16840608
04000US01,Alabama,2010,6.5895853,.15879601
04000US01,Alabama,2011,6.3611312,.1781458
04000US01,Alabama,2012,6.688168,.15747
04000US01,Alabama,2013,6.5363503,.16953626
04000US01,Alabama,2014,6.5472999,.16817892
04000US01,Alabama,2015,6.5908065,.16147067
04000US01,Alabama,2016,6.2311945,.16993542
04000US01,Alabama,2017,5.9334354,.16884352
04000US02,Alaska,2009,9.685668,.45384088
04000US02,Alaska,2010,10.403362,.537247
04000US02,Alaska,2011,9.6572495,.44409087
04000US02,Alaska,2012,9.5159569,.38176191
04000US02,Alaska,2013,9.7742004,.47759488
04000US02,Alaska,2014,8.6530027,.40250295
04000US02,Alaska,2015,10.327558,.41492268
04000US02,Alaska,2016,9.3758554,.45507416
04000US02,Alaska,2017,10.026681,.51831692
04000US04,Arizona,2009,6.7538919,.17533299
04000US04,Arizona,2010,6.8621492,.15882576
04000US04,Arizona,2011,7.0610828,.17774698
04000US04,Arizona,2012,6.9855876,.13361245
04000US04,Arizona,2013,6.8608956,.16621259
04000US04,Arizona,2014,6.8495102,.17369403
04000US04,Arizona,2015,6.8805299,.15952609
04000US04,Arizona,2016,6.3566766,.15181141
04000US04,Arizona,2017,5.8239179,.1194921
04000US05,Arkansas,2009,6.71525,.22740874
04000US05,Arkansas,2010,6.6543064,.23024394
04000US05,Arkansas,2011,6.2568893,.19068971
04000US05,Arkansas,2012,6.6456614,.21318343
04000US05,Arkansas,2013,6.1431799,.23553246
04000US05,Arkansas,2014,6.4141049,.19367371
04000US05,Arkansas,2015,6.4439931,.24092674
04000US05,Arkansas,2016,6.7351699,.25329667
04000US05,Arkansas,2017,6.2698922,.22481619
04000US06,California,2009,7.5679102,.0822846
04000US06,California,2010,7.811244,.066400558
04000US06,California,2011,8.0171509,.065206543
04000US06,California,2012,7.8940973,.068999968
04000US06,California,2013,7.7827187,.078870416
04000US06,California,2014,7.7044525,.059937075
04000US06,California,2015,7.4877815,.06223863
04000US06,California,2016,7.286272,.068709008
04000US06,California,2017,7.0437999,.061688706
04000US08,Colorado,2009,5.6303024,.15354383
04000US08,Colorado,2010,5.815866,.18682911
04000US08,Colorado,2011,5.8372836,.13913451
04000US08,Colorado,2012,5.7328134,.13917099
04000US08,Colorado,2013,5.6117435,.15191664
04000US08,Colorado,2014,5.6492181,.1583246
04000US08,Colorado,2015,5.1663947,.14255741
04000US08,Colorado,2016,5.0396585,.1256007
04000US08,Colorado,2017,5.0716457,.14386153
04000US09,Connecticut,2009,8.306612,.21651326
04000US09,Connecticut,2010,9.0611706,.22868101
04000US09,Connecticut,2011,9.3143682,.20797181
04000US09,Connecticut,2012,9.0729055,.20436086
04000US09,Connecticut,2013,9.4870358,.23234561
04000US09,Connecticut,2014,9.0751925,.21150729
04000US09,Connecticut,2015,9.1692133,.23756234
04000US09,Connecticut,2016,9.0530319,.24115692
04000US09,Connecticut,2017,8.5690041,.24862541
04000US10,Delaware,2009,7.7695475,.45307866
04000US10,Delaware,2010,6.6244884,.41343546
04000US10,Delaware,2011,5.7546401,.35596812
04000US10,Delaware,2012,6.3283844,.39266035
04000US10,Delaware,2013,7.1061811,.36191759
04000US10,Delaware,2014,6.2174225,.41051298
04000US10,Delaware,2015,6.8469486,.3585664
04000US10,Delaware,2016,5.7057405,.34480631
04000US10,Delaware,2017,5.6275268,.39360976
04000US11,District of Columbia,2009,35.183727,.93011308
04000US11,District of Columbia,2010,35.021477,.9238584
04000US11,District of Columbia,2011,38.530914,.84598744
04000US11,District of Columbia,2012,37.876411,.94206917
04000US11,District of Columbia,2013,37.380314,.92359471
04000US11,District of Columbia,2014,33.969528,.84644753
04000US11,District of Columbia,2015,36.181229,.81529218
