"Notes"	"Year"	"YearCode"	"State"	"StateCode"	Births	TotalPopulation	BirthRate
	"2009"	"2009"	"Alabama"	"01"	62475	4757938	13.13
	"2009"	"2009"	"Alaska"	"02"	11324	698895	16.20
	"2009"	"2009"	"Arizona"	"04"	92798	6343154	14.63
	"2009"	"2009"	"Arkansas"	"05"	39808	2896843	13.74
	"2009"	"2009"	"California"	"06"	527020	36961229	14.26
	"2009"	"2009"	"Colorado"	"08"	68628	4972195	13.80
	"2009"	"2009"	"Connecticut"	"09"	38896	3561807	10.92
	"2009"	"2009"	"Delaware"	"10"	11559	891730	12.96
	"2009"	"2009"	"District of Columbia"	"11"	9040	592228	15.26
	"2009"	"2009"	"Florida"	"12"	221394	18652644	11.87
	"2009"	"2009"	"Georgia"	"13"	141377	9620846	14.69
	"2009"	"2009"	"Hawaii"	"15"	18887	1346717	14.02
	"2009"	"2009"	"Idaho"	"16"	23737	1554439	15.27
	"2009"	"2009"	"Illinois"	"17"	171163	12796778	13.38
	"2009"	"2009"	"Indiana"	"18"	86673	6459325	13.42
	"2009"	"2009"	"Iowa"	"19"	39701	3032870	13.09
	"2009"	"2009"	"Kansas"	"20"	41396	2832704	14.61
	"2009"	"2009"	"Kentucky"	"21"	57551	4317074	13.33
	"2009"	"2009"	"Louisiana"	"22"	64973	4491648	14.47
	"2009"	"2009"	"Maine"	"23"	13470	1329590	10.13
	"2009"	"2009"	"Maryland"	"24"	75059	5730388	13.10
	"2009"	"2009"	"Massachusetts"	"25"	75016	6517613	11.51
	"2009"	"2009"	"Michigan"	"26"	117294	9901591	11.85
	"2009"	"2009"	"Minnesota"	"27"	70646	5281203	13.38
	"2009"	"2009"	"Mississippi"	"28"	42901	2958774	14.50
	"2009"	"2009"	"Missouri"	"29"	78905	5961088	13.24
	"2009"	"2009"	"Montana"	"30"	12257	983982	12.46
	"2009"	"2009"	"Nebraska"	"31"	26936	1812683	14.86
	"2009"	"2009"	"Nevada"	"32"	37612	2684665	14.01
	"2009"	"2009"	"New Hampshire"	"33"	13377	1316102	10.16
	"2009"	"2009"	"New Jersey"	"34"	110331	8755602	12.60
	"2009"	"2009"	"New Mexico"	"35"	29000	2036802	14.24
	"2009"	"2009"	"New York"	"36"	248110	19307066	12.85
	"2009"	"2009"	"North Carolina"	"37"	126845	9449566	13.42
	"2009"	"2009"	"North Dakota"	"38"	9001	664968	13.54
	"2009"	"2009"	"Ohio"	"39"	144841	11528896	12.56
	"2009"	"2009"	"Oklahoma"	"40"	54553	3717572	14.67
	"2009"	"2009"	"Oregon"	"41"	47132	3808600	12.38
	"2009"	"2009"	"Pennsylvania"	"42"	146434	12666858	11.56
	"2009"	"2009"	"Rhode Island"	"44"	11442	1053646	10.86
	"2009"	"2009"	"South Carolina"	"45"	60620	4589872	13.21
	"2009"	"2009"	"South Dakota"	"46"	11934	807067	14.79
	"2009"	"2009"	"Tennessee"	"47"	82211	6306019	13.04
	"2009"	"2009"	"Texas"	"48"	401977	24801761	16.21
	"2009"	"2009"	"Utah"	"49"	53887	2723421	19.79
	"2009"	"2009"	"Vermont"	"50"	6110	624817	9.78
	"2009"	"2009"	"Virginia"	"51"	105059	7925937	13.26
	"2009"	"2009"	"Washington"	"53"	89313	6667426	13.40
	"2009"	"2009"	"West Virginia"	"54"	21268	1847775	11.51
	"2009"	"2009"	"Wisconsin"	"55"	70843	5669264	12.50
	"2009"	"2009"	"Wyoming"	"56"	7881	559851	14.08
"Total"	"2009"	"2009"			4130665	306771529	13.46
	"2010"	"2010"	"Alabama"	"01"	60050	4779736	12.56
	"2010"	"2010"	"Alaska"	"02"	11471	710231	16.15
	"2010"	"2010"	"Arizona"	"04"	87477	6392017	13.69
	"2010"	"2010"	"Arkansas"	"05"	38540	2915918	13.22
	"2010"	"2010"	"California"	"06"	510198	37253956	13.70
	"2010"	"2010"	"Colorado"	"08"	66355	5029196	13.19
	"2010"	"2010"	"Connecticut"	"09"	37708	3574097	10.55
	"2010"	"2010"	"Delaware"	"10"	11364	897934	12.66
	"2010"	"2010"	"District of Columbia"	"11"	9165	601723	15.23
	"2010"	"2010"	"Florida"	"12"	214590	18801310	11.41
	"2010"	"2010"	"Georgia"	"13"	133947	9687653	13.83
	"2010"	"2010"	"Hawaii"	"15"	18988	1360301	13.96
	"2010"	"2010"	"Idaho"	"16"	23198	1567582	14.80
	"2010"	"2010"	"Illinois"	"17"	165200	12830632	12.88
	"2010"	"2010"	"Indiana"	"18"	83940	6483802	12.95
	"2010"	"2010"	"Iowa"	"19"	38719	3046355	12.71
	"2010"	"2010"	"Kansas"	"20"	40649	2853118	14.25
	"2010"	"2010"	"Kentucky"	"21"	55784	4339367	12.86
	"2010"	"2010"	"Louisiana"	"22"	62379	4533372	13.76
	"2010"	"2010"	"Maine"	"23"	12970	1328361	9.76
	"2010"	"2010"	"Maryland"	"24"	73801	5773552	12.78
	"2010"	"2010"	"Massachusetts"	"25"	72865	6547629	11.13
	"2010"	"2010"	"Michigan"	"26"	114531	9883640	11.59
	"2010"	"2010"	"Minnesota"	"27"	68610	5303925	12.94
	"2010"	"2010"	"Mississippi"	"28"	40036	2967297	13.49
	"2010"	"2010"	"Missouri"	"29"	76759	5988927	12.82
	"2010"	"2010"	"Montana"	"30"	12060	989415	12.19
	"2010"	"2010"	"Nebraska"	"31"	25918	1826341	14.19
	"2010"	"2010"	"Nevada"	"32"	35934	2700551	13.31
	"2010"	"2010"	"New Hampshire"	"33"	12874	1316470	9.78
	"2010"	"2010"	"New Jersey"	"34"	106922	8791894	12.16
	"2010"	"2010"	"New Mexico"	"35"	27850	2059179	13.52
	"2010"	"2010"	"New York"	"36"	244375	19378102	12.61
	"2010"	"2010"	"North Carolina"	"37"	122350	9535483	12.83
	"2010"	"2010"	"North Dakota"	"38"	9104	672591	13.54
	"2010"	"2010"	"Ohio"	"39"	139128	11536504	12.06
	"2010"	"2010"	"Oklahoma"	"40"	53238	3751351	14.19
	"2010"	"2010"	"Oregon"	"41"	45540	3831074	11.89
	"2010"	"2010"	"Pennsylvania"	"42"	143321	12702379	11.28
	"2010"	"2010"	"Rhode Island"	"44"	11177	1052567	10.62
	"2010"	"2010"	"South Carolina"	"45"	58342	4625364	12.61
	"2010"	"2010"	"South Dakota"	"46"	11811	814180	14.51
	"2010"	"2010"	"Tennessee"	"47"	79495	6346105	12.53
	"2010"	"2010"	"Texas"	"48"	386118	25145561	15.36
	"2010"	"2010"	"Utah"	"49"	52258	2763885	18.91
	"2010"	"2010"	"Vermont"	"50"	6223	625741	9.95
	"2010"	"2010"	"Virginia"	"51"	103002	8001024	12.87
	"2010"	"2010"	"Washington"	"53"	86539	6724540	12.87
	"2010"	"2010"	"West Virginia"	"54"	20470	1852994	11.05
	"2010"	"2010"	"Wisconsin"	"55"	68487	5686986	12.04
	"2010"	"2010"	"Wyoming"	"56"	7556	563626	13.41
