,Name,State
0,26 Glacier Cruise,Alaska
1,5th Avenue Mall,Alaska
2,A Celebration of Alaskan Flight,Alaska
3,A Gallery in Juneau,Alaska
4,A Golfing Challenge within the Alaskan Wilderness,Alaska
5,A Part of the Anchorage Museum,Alaska
6,A River Runner's Dream Destination,Alaska
7,"A Rugged, But Beautiful Adventure",Alaska
8,A Safe Way to See the Pipeline,Alaska
9,A Small but Peaceful Rest Area,Alaska
10,A Treasure Trove in Anchorage,Alaska
11,A Unique Spiritual Experience,Alaska
12,A Unique Whale Watching Experience,Alaska
13,Active Port of Call,Alaska
14,Adventurous Way to Enjoy Alaskan Views,Alaska
15,Airfield Near the Arctic,Alaska
16,Alaska Cabin Nite,Alaska
17,Alaska Experience Theatre,Alaska
18,"Alaska Native Heritage Center, Anchorage, Alaska, The Place to Learn About Native Traditions and Customs",Alaska
19,Alaska Railroad Depot,Alaska
20,Alaska Rainforest Sanctuary,Alaska
21,Alaska SeaLife Center,Alaska
22,Alaska Wild Berry Products,Alaska
23,Alaska's Most Beautiful Scenic Highway,Alaska
24,Alaska-Gastineau Mill and Gold Mine Tour,Alaska
25,Alaskan Brewery and Bottling Company,Alaska
26,Alaskan Charter Service Adventure,Alaska
27,Alaskan Park with More than Fifty Hikes,Alaska
28,An Angling Paradise,Alaska
29,An Awe-Inspiring Tour of the Glacier Bay Coastline,Alaska
30,An Island Getaway for the Adventurous Spirit,Alaska
31,An Unassuming Museum full of Alaskan History,Alaska
32,Anchorage Park Featuring Plenty of Amenities,Alaska
33,Aniakchak National Monument and Preserve in Alaska is a Remote Wilderness,Alaska
34,Another Great Gallery in Anchorage,Alaska
35,Antique Treat in Smalltown Alaska,Alaska
36,Appealing Park for Birdwatchers,Alaska
37,Art Gallery in Anchorage,Alaska
38,Artistic Furniture in a Town of Galleries,Alaska
39,Attraction at Pioneer Park,Alaska
40,Aurora Charters,Alaska
41,Award-Winning Restaurant in Anchorage,Alaska
42,Beach Located in Scenic Alaskan Town,Alaska
43,Beachside Resort and B&B,Alaska
44,Beautiful Park Popular Among Locals,Alaska
45,Beauty and Bears in Alaska's,Alaska
46,Beauty of Russian Church Design,Alaska
47,Best Western Hotel Edgewater,Alaska
48,Breathtaking Wilderness Adventure,Alaska
49,Campground Packed with Amenities,Alaska
50,Canoeing Loop in National Park,Alaska
51,Cape Krusenstern National Monument and Archaeological District in Alaska is Remote yet Breathtaking,Alaska
52,Catholic Church for Anchorage Residents,Alaska
53,Celebrating the History of Alaska,Alaska
54,Comfortable Way to View Alaskan Wildlife,Alaska
55,Community Gallery in Small Town,Alaska
56,Community Park for Anchorage Families,Alaska
